time,mouse_inclination,filtered_inclination,sensor_inclination,mouse_orientation,filtered_orientation,sensor_orientation
0,6,5.97,5.69,10,9.95,7.33
0.01,6,5.97,5.85,10,9.95,8.62
0.02,6,5.97,5.9,10,9.95,8.93
0.02,6,5.97,5.97,10,9.95,9.43
0.03,6,5.97,6.03,10,9.95,9.79
0.03,6,5.97,6.03,10,9.95,10.12
0.04,6,5.97,6.04,10,9.95,10.4
0.05,6,5.97,6.03,10,9.95,9.4
0.05,6,5.97,6.02,10,9.95,9.16
0.06,6,5.97,6.05,10,9.95,9.21
0.06,6,5.97,6.08,10,9.95,8.93
0.07,6,5.97,6.09,10,9.95,8.41
0.07,6,5.97,6.12,10,9.95,8.75
0.08,6,5.97,6.14,10,9.95,9.05
0.08,6,5.97,6.24,10,9.95,9.57
0.09,6,5.97,6.31,10,9.95,9.96
0.09,6,5.97,6.34,10,9.95,10.11
0.1,6,5.97,6.36,10,9.95,10.23
0.11,6,5.97,6.46,10,9.95,10.94
0.11,6,5.97,6.49,10,9.95,11.11
0.12,6,5.97,6.51,10,9.95,11.08
0.12,6,5.97,6.52,10,9.95,11.06
0.13,6,5.97,6.46,10,9.95,10.7
0.13,6,5.97,6.45,10,9.95,10.61
0.14,6,5.97,6.44,10,9.95,10.54
0.14,6,5.97,6.37,10,9.95,10.23
0.15,6,5.97,6.33,10,9.95,10
0.15,6,5.97,6.32,10,9.95,9.94
0.16,6,5.97,6.32,10,9.95,9.89
0.17,6,5.97,6.37,10,9.95,10.28
0.17,6,5.97,6.38,10,9.95,10.37
0.18,6,5.97,6.39,10,9.95,10.45
0.18,6,5.97,6.4,10,9.95,10.52
0.19,6,5.97,6.42,10,9.95,11.14
0.19,6,5.97,6.43,10,9.95,11.29
0.2,6,5.97,6.41,10,9.95,11.52
0.2,6,5.97,6.38,10,9.95,11.75
0.21,6,5.97,6.34,10,9.95,11.8
0.21,6,5.97,6.32,10,9.95,11.81
0.22,6,5.97,6.31,10,9.95,11.83
0.22,6,5.97,6.33,10,9.95,11.61
0.23,6,5.97,6.33,10,9.95,11.44
0.24,6,5.97,6.39,10,9.95,11.17
0.24,6,5.97,6.44,10,9.96,10.94
0.25,6,5.97,6.62,10,9.96,10.96
0.25,6,5.97,6.67,10,9.96,10.97
0.26,6,5.97,6.7,10,9.96,10.97
0.26,6,5.97,6.73,10,9.96,11.02
0.27,6,5.97,6.71,10,9.96,11.08
0.27,6,5.97,6.7,10,9.96,11.11
0.28,6,5.97,6.67,10,9.96,11.55
0.28,6,5.97,6.65,10,9.96,12.45
0.29,6,5.97,6.63,10,9.96,13.1
0.3,6,5.97,6.63,10,9.96,13.36
0.3,6,5.97,6.63,10,9.96,13.57
0.31,6,5.97,6.75,10,9.96,14.19
0.31,6,5.97,6.78,10,9.96,14.34
0.32,6,5.97,6.82,10,9.96,14.17
0.32,6,5.97,6.86,10,9.96,13.47
0.33,6,5.97,6.86,10,9.96,12.59
0.33,6,5.97,6.86,10,9.96,12.25
0.34,6,5.97,6.84,10,9.96,12.05
0.34,6,5.97,6.8,10,9.96,11.73
0.35,6,5.97,6.77,10,9.96,11.5
0.36,6,5.97,6.75,10,9.96,11.16
0.36,6,5.97,6.73,10,9.96,10.86
0.37,6,5.97,6.71,10,9.96,11.37
0.37,6,5.97,6.7,10,9.96,11.49
0.38,6,5.97,6.7,10,9.96,11.54
0.38,6,5.97,6.7,10,9.96,11.61
0.39,6,5.97,6.7,10,9.96,11.67
0.39,6,5.97,6.7,10,9.96,11.69
0.4,6,5.97,6.68,10,9.96,11.52
0.4,6,5.97,6.64,10,9.96,11.36
0.41,6,5.97,6.6,10,9.96,11.35
0.42,6,5.97,6.58,10,9.96,11.35
0.42,6,5.97,6.57,10,9.96,11.35
0.43,6,5.98,6.45,10,9.96,9.78
0.43,6,5.98,6.42,10,9.96,9.41
0.44,6,5.98,6.4,10,9.96,9.52
0.45,6,5.98,6.36,10,9.96,9.39
0.45,6,5.98,6.35,10,9.96,9.31
0.46,6,5.98,6.36,10,9.96,9.65
0.46,6,5.98,6.37,10,9.96,9.94
0.47,6,5.98,6.39,10,9.96,10.58
0.47,6,5.98,6.4,10,9.96,10.73
0.48,6,5.98,6.4,10,9.96,10.82
0.48,6,5.98,6.36,10,9.96,10.83
0.49,6,5.98,6.29,10,9.96,10.74
0.5,6,5.98,6.27,10,9.96,10.7
0.5,6,5.98,6.23,10,9.96,10.62
0.51,6,5.98,6.16,10,9.96,10.43
0.51,6,5.98,6.14,10,9.96,10.39
0.52,6,5.98,6.12,10,9.96,10.35
0.52,6,5.98,6.11,10,9.96,10.43
0.53,6,5.98,6.1,10,9.96,10.19
0.53,6,5.98,6.1,10,9.96,10.13
0.54,6,5.98,6.09,10,9.96,10.61
0.54,6,5.98,6.07,10,9.96,11.35
0.55,6,5.98,6.06,10,9.96,11.89
0.56,6,5.98,6.06,10,9.96,12.11
0.56,6,5.98,6.05,10,9.96,11.76
0.57,6,5.98,6.01,10,9.96,11.59
0.57,6,5.98,6,10,9.96,11.63
0.58,6,5.98,5.99,10,9.96,11.67
0.59,6,5.98,5.96,10,9.96,10.82
0.59,6,5.98,5.92,10,9.96,10.41
0.6,6,5.98,5.91,10,9.96,10.25
0.6,6,5.98,5.89,10,9.96,9.99
0.61,6,5.98,5.84,10,9.96,9.44
0.61,6,5.98,5.83,10,9.96,9.31
0.62,6,5.98,5.82,10,9.96,9.2
0.62,6,5.98,5.82,10,9.96,9.55
0.63,6,5.98,5.84,10,9.96,10.42
0.63,6,5.98,5.84,10,9.96,10.63
