timestamp,Mocap-roll,Mocap-pitch,Imu-roll,Imu-pitch
0.01,1.32,2.48,0.04,-0.01
0.02,1.32,2.49,0.04,-0.02
0.03,1.33,2.46,0.05,-0.03
0.04,1.32,2.49,0.06,-0.03
0.05,1.32,2.51,0.05,-0.02
0.06,1.33,2.53,0.03,-0.02
0.07,1.32,2.53,0.01,-0.02
0.08,1.33,2.51,0.02,0
0.09,1.34,2.48,0.03,0.01
0.1,1.32,2.52,0.05,0
0.11,1.31,2.51,0.06,-0.01
0.12,1.32,2.49,0.05,-0.01
0.13,1.31,2.52,0.04,0
0.14,1.32,2.53,0.03,0.01
0.15,1.33,2.53,0.03,0.01
0.16,1.35,2.52,0.03,0.03
0.17,1.37,2.56,0.03,0.04
0.18,1.34,2.5,0.02,0.03
0.19,1.31,2.47,0.01,0.01
0.2,1.33,2.47,0.02,0.01
0.21,1.32,2.5,0.04,0.01
0.22,1.31,2.48,0.06,0.01
0.23,1.32,2.48,0.06,0
0.24,1.33,2.5,0.05,-0.01
0.25,1.33,2.49,0.04,0
0.26,1.32,2.49,0.03,0.01
0.27,1.33,2.47,0.04,0.02
0.28,1.34,2.49,0.04,0.02
0.29,1.34,2.48,0.05,0.02
0.3,1.34,2.49,0.04,0.02
0.31,1.31,2.49,0.04,0.03
0.32,1.33,2.47,0.05,0.03
0.33,1.29,2.47,0.05,0.01
0.34,1.32,2.5,0.05,-0.01
0.35,1.32,2.5,0.04,-0.01
0.36,1.32,2.48,0.04,0.01
0.37,1.32,2.47,0.03,0.04
0.38,1.32,2.48,0.02,0.05
0.39,1.32,2.47,0.02,0.04
0.4,1.33,2.49,0.03,0.01
0.41,1.31,2.48,0.04,0
0.42,1.32,2.47,0.04,0
0.43,1.34,2.45,0.04,0.01
0.44,1.35,2.54,0.03,0.01
0.45,1.32,2.49,0.04,0
0.46,1.34,2.49,0.05,-0.01
0.47,1.34,2.5,0.06,0
0.48,1.36,2.49,0.06,0.02
0.49,1.35,2.47,0.05,0.04
0.5,1.32,2.51,0.04,0.04
0.51,1.31,2.5,0.03,0.04
0.52,1.3,2.48,0.03,0.04
0.53,1.33,2.51,0.03,0.04
0.54,1.33,2.52,0.03,0.04
0.55,1.33,2.5,0.03,0.04
0.56,1.32,2.5,0.03,0.03
0.57,1.32,2.5,0.03,0.04
0.58,1.33,2.48,0.04,0.04
0.59,1.32,2.47,0.05,0.04
0.6,1.3,2.45,0.05,0.04
0.61,1.33,2.47,0.04,0.04
0.62,1.33,2.48,0.03,0.03
0.63,1.34,2.47,0.02,0.01
0.64,1.33,2.48,0.03,0
0.65,1.34,2.48,0.04,0
0.66,1.31,2.47,0.06,0.01
0.67,1.32,2.46,0.06,0.01
0.68,1.31,2.46,0.05,0
0.69,1.33,2.48,0.05,-0.01
0.7,1.32,2.46,0.05,0
0.71,1.34,2.48,0.05,0.01
0.72,1.33,2.48,0.05,0
0.73,1.33,2.5,0.04,0
0.74,1.33,2.49,0.04,0
0.75,1.32,2.5,0.05,0.02
0.76,1.31,2.49,0.05,0.04
0.77,1.34,2.48,0.05,0.04
0.78,1.32,2.5,0.05,0.02
0.79,1.33,2.46,0.04,0.01
0.8,1.33,2.49,0.04,0.02
0.81,1.34,2.49,0.03,0.03
0.82,1.34,2.49,0.02,0.03
0.83,1.34,2.5,0.01,0.03
0.84,1.33,2.46,0.02,0.04
0.85,1.29,2.45,0.05,0.05
0.86,1.32,2.48,0.07,0.04
0.87,1.32,2.47,0.07,0.02
0.88,1.34,2.47,0.07,0
0.89,1.34,2.48,0.04,0
0.9,1.32,2.45,0.02,0.01
0.91,1.33,2.48,0.02,0.01
0.92,1.33,2.48,0.04,0
0.93,1.32,2.48,0.05,-0.02
0.94,1.32,2.47,0.06,-0.02
