time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
0,15,0.569,90,0
0.02,15,0.618,90,0
0.04,15,0.688,90,0
0.06,15,0.72,90,0
0.08,15,0.747,90,0
0.1,15,0.813,90,0
0.12,15,0.894,90,0
0.14,15,0.961,90,0
0.16,15,0.923,90,0
0.18,15,0.879,90,0
0.2,15,0.872,90,0
0.22,15,0.883,90,0
0.24,15,0.829,90,0
0.26,15,0.809,90,0
0.28,15,0.903,90,0
0.3,15,0.994,90,0
0.33,15,1.026,90,0
0.35,15,1.067,90,0
0.37,15,1.074,90,0
0.39,15,1.006,90,0
0.41,15,0.935,90,0
0.43,15,0.903,90,0
0.45,15,0.869,90,0
0.47,15,0.797,90,0
0.49,15,0.727,90,0
0.51,15,0.705,90,0
0.53,15,0.674,90,0
0.55,15,0.661,90,0
0.57,15,0.675,90,0
0.59,15,0.655,90,0
0.61,15,0.628,90,0
0.63,15,0.646,90,0
0.65,15,0.687,90,0
0.67,15,0.709,90,0
0.69,15,0.713,90,0
0.71,15,0.709,90,0
0.73,15,0.7,90,0
0.75,15,0.714,90,0
0.77,15,0.755,90,0
0.79,15,0.815,90,0
0.81,15,0.878,90,0
0.83,15,0.947,90,0
0.85,15,0.979,90,0
0.87,15,0.962,90,0
0.89,15,0.919,90,0
0.91,15,0.857,90,0
0.93,15,0.797,90,0
0.96,15,0.758,90,0
0.98,15,0.847,90,0
1,15,1.051,90,0
1.02,15,1.245,90,0
1.04,15,1.408,90,0
1.06,15,1.515,90,0
1.08,15,1.587,90,0
1.1,15,1.634,90,0
1.12,15,1.523,90,0
1.14,15,1.407,90,0
1.16,15,1.321,90,0
1.18,15,1.262,90,0
1.2,15,1.214,90,0
1.22,15,1.174,90,0
1.24,15,1.258,90,0
1.26,15,1.335,90,0
1.28,15,1.399,90,0
1.3,15,1.453,90,0
1.32,15,1.542,90,0
1.34,15,1.627,90,0
1.36,15,1.74,90,0
1.38,15,1.853,90,0
1.4,15,1.955,90,0
1.42,15,2.076,90,0
1.44,15,2.184,90,0
1.46,15,2.312,90,0
1.48,15,2.536,90,0
1.5,15,2.743,90,0
1.52,15,2.921,90,0
1.54,15,3.157,90,0
1.56,15,3.406,90,0
1.59,15,3.572,90,0
1.61,15,3.679,90,0
1.63,15,3.733,90,0
1.65,15,3.781,90,0
1.67,15,3.721,90,0
1.69,15,3.701,90,0
1.71,15,3.792,90,0
1.73,15,3.889,90,0
1.75,15,3.943,90,0
1.77,15,4.029,90,0
1.79,15,4.223,90,0
1.81,15,4.366,90,0
1.83,15,4.506,90,0
1.85,15,4.593,90,0
1.87,15,4.672,90,0
1.89,15,4.808,90,0
1.91,15,4.959,90,0
1.93,15,5.141,90,-13.271
1.95,15,5.323,90,-13.03
1.97,15,5.402,90,-12.593
1.99,15,5.397,90,-12.979
2.01,15,5.404,90,-14.849
2.03,15,5.491,90,-18.055
2.05,15,5.536,90,-19.93
2.07,15,5.6,90,-19.036
2.09,15,5.683,90,-18.004
2.11,15,5.827,90,-17.823
2.13,15,6.061,90,-16.685
2.15,15,6.339,90,-12.984
2.17,15,6.79,90,-9.475
2.2,15,7.2,90,-6.905
2.22,15,7.539,90,0
2.24,15,7.745,90,0
2.26,15,8.015,90,-138.485
2.28,15,8.255,90,138.527
2.3,15,8.559,90,86.546
2.32,15,8.784,90,54.002
2.34,15,8.93,90,34.553
2.36,15,9.098,90,22.737
2.38,15,9.236,90,15.081
2.4,15,10.015,90,12.188
2.42,15,10.894,90,11.144
2.44,15,11.789,90,10.825
2.46,15,12.471,90,10.6
2.48,15,13.123,90,10.485
2.5,15,13.623,90,10.703
2.52,15,13.795,90,10.363
2.54,15,13.557,90,8.703
2.56,15,13.332,90,7.419
2.58,15,13.144,90,6.61
2.6,15,13.013,90,6.05
2.62,15,12.932,90,5.275
2.64,15,12.901,90,4.971
2.66,15,12.998,90,5.482
2.68,15,13.09,90,5.252
2.7,15,13.182,90,4.775
2.72,15,14.883,90,87.089
2.74,15,12.578,90,51.338
2.76,15,10.131,90,130.344
2.78,15,10.614,90,-143.496
2.8,15,12.533,90,175.04
2.83,15,12.602,90,114.57
2.85,15,12.403,90,75.225
2.87,15,13.03,90,144.906
2.89,15,13.684,90,172.817
2.91,15,13.657,90,110.353
2.93,15,13.981,90,74.086
2.95,15,14.561,90,50.227
2.97,15,14.337,90,32.495
2.99,15,13.912,90,22.072
3.01,15,14.479,90,18.127
3.03,15,15.174,90,14.962
3.05,15,14.912,90,11.931
3.07,15,14.718,90,10.278
3.09,15,15.081,90,8.849
3.11,15,15.612,90,9.031
3.13,15,15.749,90,10.202
3.15,15,15.688,90,8.88
3.17,15,15.967,90,7.145
3.19,15,16.319,90,7.854
3.21,15,16.538,90,9.262
3.23,15,16.739,90,8.996
3.25,15,16.911,90,8.197
3.27,15,17.109,90,8.63
3.29,15,17.285,90,9.575
3.31,15,17.403,90,9.702
3.33,15,17.569,90,8.982
3.35,15,17.762,90,8.643
3.37,15,18,90,8.895
3.39,15,18.191,90,9.133
3.41,15,18.408,90,8.778
3.43,15,18.397,90,8.039
3.46,15,18.352,90,7.471
3.48,15,18.397,90,7.612
3.5,15,18.64,90,7.839
3.52,15,18.831,90,7.527
3.54,15,18.996,90,7.525
3.56,15,19.199,90,7.899
3.58,15,19.591,90,8.681
3.6,15,19.944,90,9.459
3.62,15,20.208,90,9.643
3.64,15,20.535,90,9.955
3.66,15,20.731,90,10.43
3.68,15,20.962,90,10.853
3.7,15,21.091,90,11.097
3.72,15,21.258,90,11.231
3.74,15,21.521,90,11.282
3.76,15,21.765,90,11.651
3.78,15,21.832,90,11.826
3.8,15,21.85,90,11.676
3.82,15,21.896,90,11.598
3.84,15,21.885,90,11.832
3.86,15,21.868,90,12.012
3.88,15,21.872,90,12.074
3.9,15,21.911,90,12.183
3.92,15,21.995,90,12.666
3.94,15,22.289,90,13.384
3.96,15,22.558,90,13.827
3.98,15,22.91,90,14.583
4,15,23.262,90,15.188
4.03,15,23.54,90,15.726
4.05,15,23.712,90,16.232
4.07,15,23.813,90,16.58
4.09,15,23.942,90,17.064
4.11,15,24.062,90,17.624
4.13,15,24.229,90,18.099
4.15,15,24.332,90,18.527
4.17,15,24.398,90,18.868
4.19,15,24.546,90,19.611
4.21,15,24.806,90,20.346
4.23,15,24.996,90,20.892
4.25,15,25.102,90,21.49
4.27,15,25.231,90,21.975
4.29,15,25.421,90,22.428
4.31,15,25.537,90,22.961
4.33,15,25.651,90,23.343
4.35,15,25.781,90,23.559
4.37,15,25.819,90,23.848
4.39,15,25.723,90,24.155
4.41,15,25.695,90,24.442
4.43,15,25.774,90,24.79
4.45,15,25.849,90,25.218
4.47,15,25.905,90,25.705
4.49,15,25.962,90,26.094
4.51,15,26.074,90,26.517
4.53,15,26.099,90,26.978
4.55,15,26.064,90,27.412
4.57,15,26.017,90,27.721
4.59,15,26.095,90,28.017
4.61,15,26.275,90,28.463
4.63,15,26.431,90,29.113
4.65,15,26.444,90,29.425
4.68,15,26.591,90,29.732
4.7,15,26.673,90,30.151
4.72,15,26.678,90,30.448
4.74,15,26.538,90,30.54
4.76,15,26.485,90,30.726
4.78,15,26.471,90,31.086
4.8,15,26.44,90,31.451
4.82,15,26.417,90,31.737
4.84,15,26.456,90,32.169
4.86,15,26.49,90,32.461
4.88,15,26.451,90,32.545
4.9,15,26.498,90,33.022
4.92,15,26.574,90,33.416
4.94,15,26.508,90,33.638
4.96,15,26.469,90,33.885
4.98,15,26.419,90,34.137
5,15,26.356,90,34.385
5.02,15,26.327,90,34.539
5.04,15,26.317,90,34.589
5.06,15,26.238,90,35.004
5.08,15,26.254,90,35.449
5.1,15,26.302,90,35.609
5.12,15,26.273,90,36.017
5.14,15,26.291,90,36.224
5.16,15,26.143,90,36.359
5.18,15,26.053,90,36.699
5.2,15,25.921,90,37.102
5.22,15,25.759,90,37.333
5.24,15,25.43,90,37.348
5.27,15,25.069,90,37.4
5.29,15,24.82,90,37.511
5.31,15,24.453,90,37.666
5.33,15,24.103,90,37.773
5.35,15,24.151,90,38.271
5.37,15,24.233,90,38.906
5.39,15,24.337,90,39.356
5.41,15,24.312,90,39.434
5.43,15,24.364,90,39.774
5.45,15,24.355,90,40.226
5.47,15,24.405,90,40.575
5.49,15,24.371,90,40.826
5.51,15,24.123,90,41.045
5.53,15,23.918,90,40.98
5.55,15,23.904,90,41.094
5.57,15,23.847,90,41.594
5.59,15,23.737,90,41.789
5.61,15,23.563,90,41.87
5.63,15,23.389,90,41.929
5.65,15,23.276,90,42.078
5.67,15,23.024,90,42.024
5.69,15,22.745,90,41.993
5.71,15,22.475,90,42.084
5.73,15,22.322,90,42.288
5.75,15,22.203,90,42.62
5.77,15,22.09,90,43.059
5.79,15,21.984,90,43.459
5.81,15,21.897,90,43.73
5.83,15,21.742,90,43.99
5.85,15,21.506,90,44.137
5.88,15,21.258,90,44.153
5.9,15,21.08,90,43.97
5.92,15,21.001,90,43.836
5.94,15,20.939,90,43.976
5.96,15,20.809,90,44.037
5.98,15,20.676,90,44.134
6,15,20.493,90,44.245
6.02,15,20.104,90,44.098
6.04,15,19.675,90,43.914
6.06,15,19.288,90,43.935
6.08,15,18.936,90,44.086
6.1,15,18.573,90,44.284
6.12,15,18.411,90,44.648
6.14,15,18.44,90,45.224
6.16,15,18.41,90,45.739
6.18,15,18.295,90,46.232
6.2,15,18.139,90,46.698
6.22,15,18.164,90,47.11
6.24,15,18.237,90,47.523
6.26,15,18.28,90,47.606
6.28,15,18.454,90,47.74
6.3,15,18.724,90,48.104
6.32,15,18.853,90,48.449
6.34,15,18.829,90,48.55
6.36,15,18.753,90,48.439
6.38,15,18.308,90,48.38
6.4,15,17.904,90,48.563
6.42,15,17.445,90,48.718
6.44,15,16.834,90,48.591
6.46,15,16.47,90,48.678
6.48,15,16.149,90,49.149
6.51,15,15.932,90,49.681
6.53,15,15.809,90,50.115
6.55,15,15.857,90,50.123
6.57,15,15.929,90,50.359
6.59,15,16.019,90,50.809
6.61,15,15.967,90,50.841
6.63,15,15.911,90,50.619
6.65,15,15.847,90,50.66
6.67,15,15.756,90,51.032
6.69,15,15.583,90,51.097
6.71,15,15.497,90,51.173
6.73,15,15.388,90,51.244
6.75,15,15.202,90,51.686
6.77,15,14.986,90,52.087
6.79,15,14.652,90,52.347
6.81,15,14.345,90,52.376
6.83,15,14.057,90,52.587
6.85,15,13.801,90,52.841
6.87,15,13.469,90,52.7
6.89,15,13.317,90,52.967
6.91,15,13.25,90,53.388
6.93,15,13.153,90,53.652
6.95,15,12.946,90,54.195
6.97,15,12.819,90,54.859
6.99,15,12.659,90,55.587
7.01,15,12.523,90,56.209
7.03,15,12.374,90,56.839
7.05,15,12.075,90,57.312
7.07,15,11.887,90,57.585
7.09,15,11.69,90,58.101
7.11,15,11.521,90,58.262
7.13,15,11.404,90,58.447
7.16,15,11.437,90,58.93
7.18,15,11.429,90,59.481
7.2,15,11.381,90,59.708
7.22,15,11.373,90,59.863
7.24,15,11.421,90,59.916
7.26,15,11.417,90,60.141
7.28,15,11.251,90,60.749
7.3,15,11.05,90,61.285
7.32,15,10.9,90,62.299
7.34,15,10.728,90,63.408
7.36,15,10.553,90,64.251
7.38,15,10.427,90,64.854
7.4,15,10.4,90,65.315
7.42,15,10.321,90,65.589
7.44,15,10.173,90,66.085
7.46,15,10.118,90,66.547
7.48,15,10.108,90,66.783
7.5,15,10.046,90,67.043
7.52,15,9.996,90,67.738
7.54,15,9.994,90,68.174
7.56,15,10.06,90,68.094
7.58,15,10.114,90,68.112
7.6,15,10.121,90,68.399
7.62,15,10.125,90,68.508
7.64,15,10.151,90,68.52
7.66,15,10.138,90,68.787
7.68,15,9.999,90,69.523
7.7,15,9.781,90,71.134
7.72,15,9.723,90,72.69
7.74,15,9.723,90,74.037
7.77,15,9.65,90,74.829
7.79,15,9.634,90,75.303
7.81,15,9.826,90,75.313
7.83,15,10.033,90,75.249
7.85,15,10.153,90,74.917
7.87,15,10.141,90,75.105
7.89,15,10.174,90,75.437
7.91,15,10.274,90,76.281
7.93,15,10.313,90,77.511
7.95,15,10.319,90,78.647
7.97,15,10.343,90,79.475
7.99,15,10.409,90,80.037
8.01,15,10.374,90,80.341
8.03,15,10.313,90,80.44
8.05,15,10.258,90,80.923
8.07,15,10.115,90,81.911
8.09,15,10.023,90,82.853
8.11,15,9.972,90,83.561
8.13,15,9.988,90,84.506
8.15,15,9.999,90,85.906
8.17,15,10.044,90,86.976
8.19,15,10.022,90,87.217
8.21,15,10.12,90,87.279
8.23,15,10.162,90,87.822
8.25,15,10.209,90,88.139
8.27,15,10.348,90,87.955
8.29,15,10.391,90,88.557
8.31,15,10.458,90,88.984
8.33,15,10.718,90,88.111
8.35,15,10.863,90,87.131
8.37,15,10.965,90,86.707
8.39,15,10.983,90,86.133
8.42,15,11.082,90,85.589
8.44,15,11.268,90,85.784
8.46,15,11.223,90,86.567
8.48,15,11.225,90,86.572
8.5,15,11.344,90,86.546
8.52,15,11.42,90,86.675
8.54,15,11.374,90,87.192
8.56,15,11.401,90,86.929
8.58,15,11.512,90,86.17
8.6,15,11.712,90,85.549
8.62,15,11.82,90,85.132
8.64,15,11.847,90,84.8
8.66,15,11.921,90,84.732
8.68,15,12.064,90,84.752
8.7,15,12.188,90,85.081
8.72,15,12.212,90,85.209
8.74,15,12.322,90,85.454
8.76,15,12.465,90,86.162
8.78,15,12.451,90,86.08
8.8,15,12.366,90,86.084
8.82,15,12.437,90,86.568
8.84,15,12.589,90,86.883
8.86,15,12.575,90,86.781
8.88,15,12.59,90,86.759
8.9,15,12.801,90,86.923
8.92,15,12.942,90,87.455
8.94,15,13,90,87.451
8.96,15,13.075,90,86.89
8.98,15,13.201,90,86.762
9,15,13.359,90,86.457
9.02,15,13.456,90,85.8
9.05,15,13.516,90,85.183
9.07,15,13.569,90,84.821
9.09,15,13.625,90,84.775
9.11,15,13.608,90,85.032
9.13,15,13.548,90,85.306
9.15,15,13.565,90,85.608
9.17,15,13.645,90,85.745
9.19,15,13.667,90,86.02
9.21,15,13.67,90,86.391
9.23,15,14,90,85.134
9.25,15,14.237,90,83.681
9.27,15,14.585,90,82.899
9.29,15,14.91,90,82.418
9.31,15,15.138,90,81.852
9.33,15,15.43,90,81.644
9.35,15,15.428,90,82.402
9.37,15,15.413,90,82.909
9.39,15,15.38,90,83.039
9.41,15,15.343,90,83.239
9.43,15,15.377,90,83.376
9.45,15,15.4,90,83.361
9.47,15,15.514,90,83.013
9.49,15,15.684,90,82.444
9.51,15,15.889,90,81.635
9.53,15,16.096,90,80.952
9.55,15,16.313,90,80.98
9.57,15,16.46,90,80.822
9.59,15,16.499,90,80.638
9.61,15,16.388,90,80.725
9.63,15,16.303,90,80.864
9.65,15,16.299,90,81.005
9.67,15,16.239,90,81.393
9.69,15,16.207,90,81.775
9.71,15,16.184,90,81.845
9.74,15,16.267,90,81.896
9.76,15,16.423,90,81.782
9.78,15,16.414,90,81.406
9.8,15,16.419,90,81.019
9.82,15,16.615,90,80.894
9.84,15,16.753,90,80.817
9.86,15,16.742,90,80.241
9.88,15,16.724,90,79.818
9.9,15,16.838,90,79.731
9.92,15,16.977,90,79.553
