time,target_inclination,sensor_inclination,target_orientation,sensor_orientation,sensor_orientation_fixed
0,10,4.28,90,0,0
0.02,10,4.32,90,0,0
0.04,10,6.51,90,0,0
0.06,10,6.53,90,0,0
0.08,10,6.52,90,0,0
0.1,10,6.55,90,0,0
0.12,10,6.6,90,0,0
0.14,10,6.59,90,0,0
0.16,10,6.54,90,0,0
0.18,10,6.51,90,0,0
0.2,10,6.48,90,0,0
0.22,10,6.42,90,0,0
0.24,10,6.38,90,0,0
0.26,10,6.35,90,0,0
0.28,10,6.34,90,0,0
0.3,10,6.36,90,0,0
0.32,10,6.38,90,0,0
0.34,10,6.41,90,0,0
0.36,10,6.44,90,0,0
0.38,10,6.48,90,0,0
0.4,10,6.55,90,0,0
0.42,10,6.59,90,0,0
0.44,10,6.53,90,0,0
0.46,10,6.47,90,0,0
0.48,10,6.4,90,0,0
0.51,10,6.32,90,0,0
0.53,10,6.27,90,0,0
0.55,10,6.2,90,0,0
0.57,10,6.1,90,0,0
0.59,10,6.13,90,0,0
0.61,10,6.15,90,0,0
0.63,10,6.15,90,0,0
0.65,10,6.07,90,0,0
0.67,10,6.09,90,0,0
0.69,10,6.12,90,0,0
0.71,10,6.12,90,0,0
0.73,10,6.1,90,0,0
0.75,10,6.05,90,0,0
0.77,10,5.95,90,0,0
0.79,10,5.98,90,0,0
0.81,10,5.98,90,0,0
0.83,10,5.96,90,0,0
0.85,10,5.91,90,0,0
0.87,10,5.88,90,0,0
0.89,10,5.85,90,0,0
0.91,10,5.84,90,0,0
0.93,10,5.84,90,0,0
0.95,10,5.83,90,0,0
0.97,10,5.86,90,0,0
0.99,10,5.87,90,0,0
1.01,10,5.84,90,0,0
1.03,10,5.8,90,0,0
1.06,10,5.81,90,0,0
1.08,10,5.84,90,0.4195,0.42
1.1,10,5.85,90,1.0603,1.06
1.12,10,5.86,90,2.1364,2.14
1.14,10,5.85,90,2.8279,2.83
1.16,10,5.82,90,3.3487,3.35
1.18,10,5.74,90,4.2859,4.29
1.2,10,5.62,90,4.5162,4.52
1.22,10,5.48,90,4.7293,4.73
1.24,10,5.34,90,5.4908,5.49
1.26,10,5.23,90,6.1692,6.17
1.28,10,5.15,90,6.9229,6.92
1.3,10,5.08,90,7.8112,7.81
1.32,10,5.03,90,8.7097,8.71
1.34,10,5.01,90,10.2947,10.29
1.36,10,5.01,90,12.2287,12.23
1.38,10,4.97,90,0,0
1.4,10,4.95,90,0,0
1.42,10,4.94,90,0,0
1.44,10,4.98,90,0,0
1.46,10,5.04,90,20.3947,20.39
1.48,10,5.11,90,21.8897,21.89
1.5,10,5.2,90,23.2587,23.26
1.52,10,5.3,90,24.7989,24.8
1.54,10,5.39,90,26.2254,26.23
1.56,10,5.49,90,27.9611,27.96
1.58,10,5.6,90,29.7566,29.76
1.6,10,5.68,90,30.7666,30.77
1.62,10,5.73,90,31.0875,31.09
1.65,10,5.81,90,32.2095,32.21
1.67,10,5.91,90,33.8748,33.87
1.69,10,5.98,90,34.5779,34.58
1.71,10,6.07,90,35.3588,35.36
1.73,10,6.16,90,36.7111,36.71
1.75,10,6.27,90,38.2412,38.24
1.77,10,6.31,90,39.0443,39.04
1.79,10,6.35,90,39.9501,39.95
1.81,10,6.45,90,41.3991,41.4
1.83,10,6.53,90,42.918,42.92
1.85,10,6.56,90,43.6754,43.68
1.87,10,6.6,90,44.2984,44.3
1.89,10,6.65,90,45.5515,45.55
1.91,10,6.73,90,46.7438,46.74
1.93,10,6.8,90,47.37,47.37
1.95,10,6.84,90,47.9846,47.98
