time,target_inclination,sensor_inclination,target_orientation,sensor_orientation,sensor_orientation_fixed
0,10,4.28,90,0,0
0.02,10,4.32,90,0,0
0.04,10,4.33,90,0,0
0.06,10,4.28,90,0,0
0.08,10,4.24,90,0,0
0.1,10,4.26,90,0,0
0.12,10,4.23,90,0,0
0.14,10,4.12,90,0,0
0.16,10,4.05,90,0,0
0.18,10,4.03,90,0,0
0.2,10,4.02,90,0,0
0.22,10,3.95,90,0,0
0.24,10,3.83,90,0,0
0.26,10,3.83,90,0,0
0.29,10,3.85,90,0,0
0.31,10,3.87,90,0,0
0.33,10,3.79,90,0,0
0.35,10,3.74,90,0,0
0.37,10,3.73,90,0,0
0.39,10,3.76,90,0,0
0.41,10,3.78,90,0,0
0.43,10,3.8,90,0,0
0.45,10,3.84,90,0,0
0.47,10,3.83,90,0,0
0.49,10,3.83,90,0,0
0.51,10,3.84,90,0,0
0.53,10,3.86,90,0,0
0.55,10,3.82,90,0,0
0.57,10,3.77,90,0,0
0.59,10,3.66,90,0,0
0.61,10,3.56,90,0,0
0.63,10,3.37,90,0,0
0.65,10,3.37,90,0,0
0.67,10,3.21,90,0,0
0.69,10,2.96,90,0,0
0.71,10,2.77,90,0,0
0.73,10,2.68,90,0,0
0.75,10,2.64,90,0,0
0.77,10,2.72,90,0,0
0.79,10,2.68,90,0,0
0.81,10,2.66,90,0,0
0.83,10,2.57,90,0,0
0.85,10,2.48,90,0,0
0.87,10,2.43,90,0,0
0.89,10,2.41,90,0,0
0.92,10,2.27,90,0,0
0.94,10,1.97,90,0,0
0.96,10,1.78,90,0,0
0.98,10,1.63,90,0,0
1,10,1.56,90,0,0
1.02,10,1.55,90,0,0
1.04,10,1.52,90,0,0
1.06,10,1.46,90,0,0
1.08,10,1.42,90,0,0
1.1,10,1.41,90,0,0
1.12,10,1.42,90,0,0
1.14,10,1.43,90,0,0
1.16,10,1.42,90,0,0
1.18,10,1.42,90,0,0
1.2,10,1.41,90,0,0
1.22,10,1.38,90,0,0
1.24,10,1.33,90,0,0
1.26,10,1.29,90,0,0
1.28,10,1.28,90,0,0
1.3,10,1.29,90,0,0
1.32,10,1.28,90,0,0
1.34,10,1.26,90,0,0
1.36,10,1.23,90,0,0
1.38,10,1.22,90,0,0
1.4,10,1.2,90,0,0
1.42,10,1.2,90,0,0
1.44,10,1.2,90,0,0
1.46,10,1.19,90,0,0
1.49,10,1.18,90,0,0
1.51,10,1.18,90,0,0
1.53,10,1.17,90,0,0
1.55,10,1.16,90,0,0
1.57,10,1.16,90,0,0
1.59,10,1.15,90,0,0
1.61,10,1.16,90,0,0
1.63,10,1.15,90,0,0
1.65,10,1.14,90,0,0
1.67,10,1.14,90,0,0
1.69,10,1.16,90,0,0
1.71,10,1.17,90,0,0
1.73,10,1.19,90,0,0
1.75,10,1.21,90,0,0
1.77,10,1.21,90,0,0
1.79,10,1.2,90,0,0
1.81,10,1.2,90,0,0
1.83,10,1.19,90,0,0
1.85,10,1.18,90,0,0
1.87,10,1.16,90,0,0
1.89,10,1.16,90,0,0
1.91,10,1.16,90,0,0
1.93,10,1.14,90,0,0
1.95,10,1.14,90,0,0
1.97,10,1.13,90,0,0
1.99,10,1.13,90,0,0
2.01,10,1.13,90,0,0
2.03,10,1.14,90,0,0
2.05,10,1.15,90,0,0
2.07,10,1.18,90,0,0
2.09,10,1.21,90,0,0
2.11,10,1.26,90,0,0
2.14,10,1.26,90,0,0
2.16,10,1.25,90,0,0
2.18,10,1.2,90,0,0
2.2,10,1.2,90,0,0
