time,continuous_time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
0,0,10,0.14,90,0
0.02,0.02,10,0.14,90,0
0.04,0.04,10,0.14,90,0
0.06,0.06,10,0.14,90,0
0.08,0.08,10,0.14,90,0
0.1,0.1,10,0.12,90,0
0.12,0.12,10,0.14,90,0
0.14,0.14,10,0.17,90,0
0.16,0.16,10,0.22,90,0
0.18,0.18,10,0.25,90,0
0.2,0.2,10,0.25,90,0
0.22,0.22,10,0.21,90,0
0.24,0.24,10,0.18,90,0
0.26,0.26,10,0.17,90,0
0.28,0.28,10,0.16,90,0
0.3,0.3,10,0.16,90,0
0.32,0.32,10,0.17,90,0
0.34,0.34,10,0.15,90,0
0.36,0.36,10,0.16,90,0
0.38,0.38,10,0.13,90,0
0.41,0.41,10,0.12,90,0
0.43,0.43,10,0.17,90,0
0.45,0.45,10,0.27,90,0
0.47,0.47,10,0.24,90,0
0.49,0.49,10,0.26,90,0
0.51,0.51,10,0.33,90,0
0.53,0.53,10,0.38,90,0
0.55,0.55,10,0.4,90,0
0.57,0.57,10,0.46,90,0
0.59,0.59,10,0.59,90,0
0.61,0.61,10,0.67,90,0
0.63,0.63,10,0.74,90,0
0.65,0.65,10,0.83,90,0
0.67,0.67,10,0.96,90,0
0.69,0.69,10,1.1,90,0
0.71,0.71,10,1.21,90,0
0.73,0.73,10,1.22,90,0
0.76,0.76,10,1.35,90,0
0.78,0.78,10,1.48,90,0
0.8,0.8,10,1.5,90,0
0.82,0.82,10,1.57,90,0
0.84,0.84,10,1.73,90,0
0.86,0.86,10,1.95,90,0
0.88,0.88,10,2.12,90,0
0.9,0.9,10,2.25,90,0
0.92,0.92,10,2.43,90,0
0.94,0.94,10,2.74,90,0
0.96,0.96,10,2.94,90,0
0.98,0.98,10,3.07,90,0
1,1,10,3.36,90,0
1.02,1.02,10,3.64,90,0
1.04,1.04,10,3.84,90,0
1.06,1.06,10,4.02,90,0
1.08,1.08,10,4.32,90,0
1.1,1.1,10,4.56,90,0
1.13,1.13,10,4.76,90,0
1.15,1.15,10,5.06,90,47.67
1.17,1.17,10,5.34,90,48.47
1.19,1.19,10,5.55,90,48.53
1.21,1.21,10,5.63,90,47.34
1.23,1.23,10,6.13,90,49.54
1.25,1.25,10,6.41,90,50.29
1.27,1.27,10,6.48,90,49.82
1.29,1.29,10,6.49,90,49.14
1.31,1.31,10,6.69,90,49.38
1.33,1.33,10,6.96,90,50.93
1.35,1.35,10,7.11,90,51.17
1.37,1.37,10,7.29,90,49.78
1.39,1.39,10,7.48,90,49.4
1.41,1.41,10,7.68,90,50.42
1.43,1.43,10,7.84,90,50.49
1.45,1.45,10,7.92,90,49.81
1.47,1.47,10,8.03,90,50.26
1.5,1.5,10,8.18,90,51.41
1.52,1.52,10,8.28,90,51.5
1.54,1.54,10,8.36,90,51.21
1.56,1.56,10,8.46,90,51.29
1.58,1.58,10,8.65,90,52.15
1.6,1.6,10,8.81,90,52.75
1.62,1.62,10,8.86,90,53.37
1.64,1.64,10,8.94,90,54.24
1.66,1.66,10,9.19,90,54.73
1.68,1.68,10,9.29,90,55.21
1.7,1.7,10,9.33,90,55.19
1.72,1.72,10,9.49,90,54.97
1.74,1.74,10,9.65,90,54.76
1.76,1.76,10,9.75,90,54.94
1.78,1.78,10,9.88,90,55.11
1.8,1.8,10,10,90,55.21
1.82,1.82,10,10.12,90,55.6
1.84,1.84,10,10.17,90,55.67
1.86,1.86,10,10.15,90,55.52
1.89,1.89,10,10.17,90,56.05
1.91,1.91,10,10.1,90,56.33
1.93,1.93,10,10.09,90,56.61
1.95,1.95,10,10.04,90,56.66
1.97,1.97,10,10.11,90,57.54
1.99,1.99,10,10.24,90,58.38
2.01,2.01,10,10.36,90,58.53
2.03,2.03,10,10.58,90,59.08
2.05,2.05,10,10.72,90,59.34
2.07,2.07,10,10.66,90,59.02
2.09,2.09,10,10.75,90,59.19
2.12,2.12,10,10.85,90,59.51
2.14,2.14,10,10.91,90,59.97
2.16,2.16,10,10.83,90,60.04
2.18,2.18,10,10.84,90,60.35
2.2,2.2,10,10.97,90,60.84
2.22,2.22,10,10.82,90,60.5
2.24,2.24,10,10.89,90,61.09
2.26,2.26,10,11.01,90,61.45
2.28,2.28,10,11.04,90,61.47
